iter	Passed	Remaining
0	58	29257
1	63	15733
2	66	10990
3	68	8512
4	70	7025
5	73	6050
6	76	5377
7	78	4848
8	81	4440
9	83	4108
10	86	3827
11	88	3586
12	90	3389
13	93	3234
14	95	3092
15	97	2959
16	100	2849
17	102	2745
18	104	2653
19	107	2570
20	109	2502
21	111	2430
22	114	2367
23	116	2309
24	118	2255
25	121	2205
26	123	2161
27	126	2125
28	128	2084
29	130	2045
30	132	2008
31	134	1973
32	137	1942
33	139	1913
34	141	1884
35	144	1857
36	146	1831
37	148	1807
38	151	1786
39	153	1763
40	155	1743
41	158	1728
42	160	1709
43	163	1690
44	165	1672
45	167	1654
46	170	1639
47	172	1623
48	174	1610
49	177	1595
50	179	1582
51	182	1568
52	184	1554
53	186	1540
54	188	1527
55	191	1517
56	193	1505
57	195	1493
58	198	1484
59	200	1472
60	202	1460
61	205	1450
62	207	1442
63	210	1433
64	212	1423
65	215	1414
66	217	1406
67	219	1396
68	222	1387
69	225	1382
70	226	1370
71	228	1360
72	231	1351
73	233	1343
74	235	1335
75	237	1326
76	240	1321
77	242	1313
78	245	1306
79	247	1298
80	249	1292
81	251	1284
82	254	1277
83	256	1271
84	259	1264
85	261	1258
86	263	1252
87	266	1245
88	268	1239
89	270	1232
90	273	1229
91	275	1223
92	278	1216
93	280	1210
94	282	1204
95	285	1200
96	287	1195
97	290	1190
98	292	1184
99	294	1178
100	297	1173
101	299	1167
102	301	1162
103	303	1156
104	306	1152
105	308	1147
106	310	1142
107	313	1138
108	315	1132
109	318	1127
110	320	1122
111	322	1118
112	325	1113
113	327	1108
114	329	1104
115	332	1099
116	334	1094
117	336	1090
118	339	1087
119	342	1083
120	344	1078
121	346	1074
122	348	1069
123	351	1064
124	353	1060
125	356	1058
126	358	1053
127	361	1049
128	363	1045
129	365	1040
130	367	1036
131	370	1032
132	372	1029
133	375	1024
134	377	1020
135	379	1016
136	381	1011
137	384	1007
138	386	1003
139	388	1000
140	391	996
141	393	992
142	395	988
143	398	984
144	400	980
145	402	976
146	405	973
147	407	969
148	409	965
149	411	961
150	414	957
151	416	953
152	418	950
153	421	947
154	423	943
155	426	939
156	428	936
157	430	932
158	433	929
159	435	925
160	438	923
161	440	919
162	442	915
163	445	912
164	447	908
165	449	904
166	452	901
167	455	899
168	457	896
169	459	892
170	462	888
171	464	885
172	466	882
173	469	878
174	471	876
175	474	872
176	476	869
177	478	866
178	480	862
179	483	859
180	485	855
181	488	853
182	490	850
183	493	846
184	495	843
185	497	840
186	500	838
187	503	835
188	506	833
189	508	829
190	510	826
191	513	823
192	515	820
